First_Name,Last_Name,Season,Position,Team_End_Season,Shot,Shot2,height_in,weight_lbs,Signing Age,Length,AAV,Expiry_Age,Expiry Status,next_length,next_aav,pred_length,pred_AAV,GP,G,A,P,PIM,GF_pct,CF_pct,TOI_5x5,TOI_PP,TOI_PK,EVO_GAR,EVD_GAR,PPO_GAR,SHD_GAR,Take_GAR,Draw_GAR,Cap_Ceiling,AAV_pct_cap,Next_Cap_Ceiling,next_AAV_pct_cap,pred_AAV_pct_cap,Team,Draft_Position_Raw,Undrafted
John,Tavares,2025,Center,TOR,1,Left,73,216,27,7,"$11,000,000",34,UFA,4,"$4,389,280",3,"$4,415,968",75,38,36,74,46,60,46,14.37,2.7,0.02,12.4,-0.5,5.7,0,-0.7,-0.3,"$88,000,000",12.5%,"$95,500,000",4.6%,4.6%,TOR,1,0
Mitch,Marner,2025,Winger,TOR,0,Right,72,181,22,6,"$10,903,000",28,UFA,8,"$12,000,000",8,"$11,918,435",81,27,75,102,14,58,50,14.9,2.85,2,12.6,-1.8,4.3,-0.8,2.3,0.5,"$88,000,000",12.4%,"$95,500,000",12.6%,12.5%,TOR,4,0
Jamie,Benn,2025,Winger,DAL,1,Left,75,209,26,8,"$9,500,000",34,UFA,1,"$4,000,000",1,"$4,019,719",80,16,33,49,70,55,46,11.77,2.27,0.6,9.8,-4.1,-1.5,-0.4,-1.3,-0.7,"$88,000,000",10.8%,"$95,500,000",4.2%,4.2%,DAL,129,0
Mikko,Rantanen,2025,Center,DAL,1,Left,76,227,22,6,"$9,250,000",28,UFA,8,"$12,000,000",8,"$11,894,605",82,32,56,88,60,54,54,16.18,3.67,0.02,4.5,-3.7,-2.8,0,-1.2,-0.1,"$88,000,000",10.5%,"$95,500,000",12.6%,12.5%,CAR/COL/DAL,10,0
Sidney,Crosby,2025,Center,PIT,1,Left,71,201,24,12,"$8,700,000",36,UFA,2,"$8,700,000",2,"$8,709,445",80,33,58,91,31,50,52,16.27,3.03,0.07,12.8,-2.3,3.4,0,1.2,-0.4,"$88,000,000",9.9%,"$95,500,000",9.1%,9.1%,PIT,1,0
Leon,Draisaitl,2025,Center,EDM,1,Left,74,209,21,8,"$8,500,000",29,UFA,8,"$14,000,000",8,"$13,945,150",71,52,54,106,34,59,59,16.98,3.17,0.07,19.6,1.3,5,0,0.5,2.3,"$88,000,000",9.7%,"$95,500,000",14.7%,14.6%,EDM,3,0
Brent,Burns,2025,Defenseman,CAR,0,Right,77,229,31,8,"$8,000,000",39,UFA,1,"$5,000,000",1,"$4,920,438",82,6,23,29,28,50,57,15.98,1.58,2.23,6.2,-4.7,-2.9,2.1,0.4,-0.7,"$88,000,000",9.1%,"$95,500,000",5.2%,5.2%,CAR,20,0
Victor,Hedman,2025,Defenseman,TB,1,Left,78,245,25,8,"$7,875,000",33,UFA,4,"$8,000,000",4,"$8,049,374",79,15,51,66,30,59,52,17.63,2.73,1.48,6.8,-0.6,3.4,-1.2,0.9,-0.4,"$88,000,000",8.9%,"$95,500,000",8.4%,8.4%,T.B,2,0
Dmitry,Orlov,2025,Defenseman,CAR,1,Left,71,214,31,2,"$7,750,000",33,UFA,2,"$6,500,000",2,"$6,312,102",76,6,22,28,24,50,59,17.42,0.03,1.95,2,0.2,0,-3.4,1,0.7,"$88,000,000",8.8%,"$95,500,000",6.8%,6.6%,CAR,55,0
Aaron,Ekblad,2025,Defenseman,FLA,0,Right,76,220,20,8,"$7,500,000",28,UFA,8,"$6,100,000",7,"$6,193,616",56,3,30,33,53,56,56,17.48,2.53,2.23,2.5,-3,2.8,-0.6,-1.1,0.7,"$88,000,000",8.5%,"$95,500,000",6.4%,6.5%,FLA,1,0
